지역구,지역동,업종,점포수,,,,,,,,,,,,,,,,
종로구,청운효자동,커피전문점,73,,,,,,,,,,,,,,,,
종로구,사직동,커피전문점,199,,,,,,,,,,,,,,,,
종로구,삼청동,커피전문점,88,,,,,,,,,,,,,,,,
종로구,부암동,커피전문점,30,,,,,,,,,,,,,,,,
종로구,평창동,커피전문점,28,,,,,,,,,,,,,,,,
종로구,무악동,커피전문점,7,,,,,,,,,,,,,,,,
종로구,교남동,커피전문점,17,,,,,,,,,,,,,,,,
종로구,가회동,커피전문점,59,,,,,,,,,,,,,,,,
종로구,종로1.2.3.4가동,커피전문점,391,,,,,,,,,,,,,,,,
종로구,종로5.6가동,커피전문점,74,,,,,,,,,,,,,,,,
종로구,이화동,커피전문점,108,,,,,,,,,,,,,,,,
종로구,혜화동,커피전문점,140,,,,,,,,,,,,,,,,
종로구,창신1동,커피전문점,16,,,,,,,,,,,,,,,,
종로구,창신2동,커피전문점,9,,,,,,,,,,,,,,,,
종로구,창신3동,커피전문점,9,,,,,,,,,,,,,,,,
종로구,숭인1동,커피전문점,6,,,,,,,,,,,,,,,,
종로구,숭인2동,커피전문점,29,,,,,,,,,,,,,,,,
중구,소공동,커피전문점,167,,,,,,,,,,,,,,,,
중구,회현동,커피전문점,131,,,,,,,,,,,,,,,,
중구,명동,커피전문점,334,,,,,,,,,,,,,,,,
중구,필동,커피전문점,94,,,,,,,,,,,,,,,,
중구,장충동,커피전문점,24,,,,,,,,,,,,,,,,
중구,광희동,커피전문점,109,,,,,,,,,,,,,,,,
중구,을지로동,커피전문점,111,,,,,,,,,,,,,,,,
중구,신당동,커피전문점,60,,,,,,,,,,,,,,,,
중구,다산동,커피전문점,35,,,,,,,,,,,,,,,,
중구,약수동,커피전문점,14,,,,,,,,,,,,,,,,
중구,청구동,커피전문점,16,,,,,,,,,,,,,,,,
중구,신당5동,커피전문점,22,,,,,,,,,,,,,,,,
중구,동화동,커피전문점,18,,,,,,,,,,,,,,,,
중구,황학동,커피전문점,15,,,,,,,,,,,,,,,,
중구,중림동,커피전문점,39,,,,,,,,,,,,,,,,
용산구,후암동,커피전문점,36,,,,,,,,,,,,,,,,
용산구,용산2가동,커피전문점,33,,,,,,,,,,,,,,,,
용산구,남영동,커피전문점,50,,,,,,,,,,,,,,,,
용산구,청파동,커피전문점,69,,,,,,,,,,,,,,,,
용산구,원효로1동,커피전문점,45,,,,,,,,,,,,,,,,
용산구,원효로2동,커피전문점,11,,,,,,,,,,,,,,,,
용산구,효창동,커피전문점,24,,,,,,,,,,,,,,,,
용산구,용문동,커피전문점,11,,,,,,,,,,,,,,,,
용산구,한강로동,커피전문점,127,,,,,,,,,,,,,,,,
용산구,이촌1동,커피전문점,13,,,,,,,,,,,,,,,,
용산구,이촌2동,커피전문점,8,,,,,,,,,,,,,,,,
용산구,이태원1동,커피전문점,52,,,,,,,,,,,,,,,,
용산구,이태원2동,커피전문점,52,,,,,,,,,,,,,,,,
용산구,한남동,커피전문점,106,,,,,,,,,,,,,,,,
용산구,서빙고동,커피전문점,9,,,,,,,,,,,,,,,,
용산구,보광동,커피전문점,15,,,,,,,,,,,,,,,,
성동구,왕십리2동,커피전문점,15,,,,,,,,,,,,,,,,
성동구,왕십리도선동,커피전문점,59,,,,,,,,,,,,,,,,
성동구,마장동,커피전문점,24,,,,,,,,,,,,,,,,
성동구,사근동,커피전문점,81,,,,,,,,,,,,,,,,
성동구,행당1동,커피전문점,41,,,,,,,,,,,,,,,,
성동구,행당2동,커피전문점,18,,,,,,,,,,,,,,,,
성동구,응봉동,커피전문점,6,,,,,,,,,,,,,,,,
성동구,금호1가동,커피전문점,15,,,,,,,,,,,,,,,,
성동구,금호2.3가동,커피전문점,20,,,,,,,,,,,,,,,,
성동구,금호4가동,커피전문점,13,,,,,,,,,,,,,,,,
성동구,옥수동,커피전문점,23,,,,,,,,,,,,,,,,
성동구,성수1가1동,커피전문점,43,,,,,,,,,,,,,,,,
성동구,성수1가2동,커피전문점,112,,,,,,,,,,,,,,,,
성동구,성수2가1동,커피전문점,72,,,,,,,,,,,,,,,,
성동구,성수2가3동,커피전문점,111,,,,,,,,,,,,,,,,
성동구,송정동,커피전문점,8,,,,,,,,,,,,,,,,
성동구,용답동,커피전문점,24,,,,,,,,,,,,,,,,
광진구,화양동,커피전문점,147,,,,,,,,,,,,,,,,
광진구,군자동,커피전문점,62,,,,,,,,,,,,,,,,
광진구,중곡1동,커피전문점,27,,,,,,,,,,,,,,,,
광진구,중곡2동,커피전문점,33,,,,,,,,,,,,,,,,
광진구,중곡3동,커피전문점,35,,,,,,,,,,,,,,,,
광진구,중곡4동,커피전문점,34,,,,,,,,,,,,,,,,
광진구,능동,커피전문점,23,,,,,,,,,,,,,,,,
광진구,광장동,커피전문점,53,,,,,,,,,,,,,,,,
광진구,자양1동,커피전문점,44,,,,,,,,,,,,,,,,
광진구,자양2동,커피전문점,30,,,,,,,,,,,,,,,,
광진구,자양3동,커피전문점,49,,,,,,,,,,,,,,,,
광진구,자양4동,커피전문점,66,,,,,,,,,,,,,,,,
광진구,구의1동,커피전문점,44,,,,,,,,,,,,,,,,
광진구,구의2동,커피전문점,37,,,,,,,,,,,,,,,,
광진구,구의3동,커피전문점,74,,,,,,,,,,,,,,,,
동대문구,용신동,커피전문점,86,,,,,,,,,,,,,,,,
동대문구,제기동,커피전문점,42,,,,,,,,,,,,,,,,
동대문구,전농1동,커피전문점,52,,,,,,,,,,,,,,,,
동대문구,전농2동,커피전문점,26,,,,,,,,,,,,,,,,
동대문구,답십리1동,커피전문점,32,,,,,,,,,,,,,,,,
동대문구,답십리2동,커피전문점,16,,,,,,,,,,,,,,,,
