역번호,역명,구,행정동
150,서울역,중구,회현동
151,시청,중구,소공동
152,종각,종로구,종로1.2.3.4가동
153,종로3가,종로구,종로1.2.3.4가동
154,종로5가,종로구,종로5.6가동
155,동대문,종로구,창신1동
156,신설동,동대문구,용신동
157,제기동,동대문구,제기동
158,청량리,동대문구,청량리동
159,동묘앞,종로구,숭인1동
200,까치산,강서구,화곡8동
201,시청,중구,소공동
202,을지로입구,중구,명동
203,을지로3가,중구,을지로동
204,을지로4가,중구,을지로동
205,동대문역사문화공원,중구,광희동
206,신당,중구,신당동
207,상왕십리,성동구,왕십리2동
208,왕십리,성동구,행당1동
209,한양대,성동구,행당1동
210,뚝섬,성동구,성수1가2동
211,성수,성동구,성수2가3동
212,건대입구,광진구,화양동
213,구의,광진구,구의1동
214,강변,광진구,구의3동
215,잠실나루,송파구,잠실6동
216,잠실,송파구,잠실6동
217,잠실새내,송파구,잠실3동
218,종합운동장,송파구,잠실7동
219,삼성,강남구,대치2동
220,선릉,강남구,삼성2동
221,역삼,강남구,역삼2동
222,강남,강남구,역삼1동
223,교대,서초구,서초3동
224,서초,서초구,서초3동
225,방배,서초구,방배3동
226,사당,동작구,사당1동
227,낙성대,관악구,낙성대동
228,서울대입구,관악구,낙성대동
229,봉천,관악구,은천동
230,신림,관악구,신림동
231,신대방,동작구,신대방1동
232,구로디지털단지,구로구,구로3동
233,대림,구로구,구로4동
234,신도림,구로구,신도림동
235,문래,영등포구,문래동
236,영등포구청,영등포구,당산1동
237,당산,영등포구,당산2동
238,합정,마포구,서교동
239,홍대입구,마포구,서교동
240,신촌,마포구,서교동
241,이대,마포구,아현동
242,아현,마포구,아현동
243,충정로,서대문구,충현동
244,용답,성동구,용답동
245,신답,성동구,용답동
246,신설동,동대문구,용신동
247,도림천,구로구,신도림동
248,양천구청,양천구,신정7동
249,신정네거리,양천구,신정3동
250,용두,동대문구,용신동
310,구파발,은평구,진관동
311,연신내,은평구,갈현1동
312,불광,은평구,대조동
313,녹번,은평구,녹번동
314,홍제,서대문구,홍제3동
315,무악재,서대문구,홍제2동
316,독립문,서대문구,천연동
317,경복궁,종로구,사직동
318,안국,종로구,삼청동
319,종로3가,종로구,종로1.2.3.4가동
320,을지로3가,중구,을지로동
321,충무로,중구,필동
322,동대입구,중구,필동
323,약수,중구,신당동
324,금호,성동구,금호4가동
325,옥수,성동구,옥수동
326,압구정,강남구,신사동.
327,신사,강남구,신사동.
328,잠원,서초구,잠원동
329,고속터미널,서초구,반포4동
330,교대,서초구,서초4동
331,남부터미널,서초구,서초1동
332,양재,서초구,서초2동
333,매봉,강남구,도곡1동
334,도곡,강남구,도곡1동
335,대치,강남구,도곡2동
336,학여울,강남구,대치2동
337,대청,강남구,일원2동
338,일원,강남구,일원본동
339,수서,강남구,수서동
340,가락시장,송파구,가락본동
341,경찰병원,송파구,가락2동
342,오금,송파구,오금동
409,당고개,노원구,상계3.4동
410,상계,노원구,상계5동
411,노원,노원구,상계2동
412,창동,도봉구,창4동
413,쌍문,도봉구,창1동
414,수유,강북구,번1동
415,미아,강북구,송천동
416,미아사거리,강북구,송중동
417,길음,성북구,길음1동
418,성신여대입구,성북구,동선동
419,한성대입구,성북구,삼선동
420,혜화,종로구,이화동
421,동대문,종로구,종로5.6가동
422,동대문역사문화공원,중구,광희동
423,충무로,중구,필동
424,명동,중구,명동
425,회현,중구,회현동
426,서울역,용산구,남영동
