SIG_CD,SIG_KOR_NM,SIG_ENG_NM,ESRI_PK,SHAPE_AREA,SHAPE_LEN
"11320","도봉구","Dobong-gu",0,0.00210990545,0.23990125135
"11380","은평구","Eunpyeong-gu",1,0.00304061687,0.32714303767
"11230","동대문구","Dongdaemun-gu",2,0.00145316290,0.18283704174
"11590","동작구","Dongjak-gu",3,0.00166998036,0.23779566550
"11545","금천구","Geumcheon-gu",4,0.00132548561,0.21164944654
"11530","구로구","Guro-gu",5,0.00204682462,0.34756797046
"11110","종로구","Jongno-gu",6,0.00244751496,0.29010046556
"11305","강북구","Gangbuk-gu",7,0.00241179323,0.26744113209
"11260","중랑구","Jungnang-gu",8,0.00189267536,0.18471601829
"11680","강남구","Gangnam-gu",9,0.00402701533,0.34841197471
"11500","강서구","Gangseo-gu",10,0.00422704182,0.43569432658
"11140","중구","Jung-gu",11,0.00101669826,0.19124242768
"11740","강동구","Gangdong-gu",12,0.00250442083,0.24259552870
"11215","광진구","Gwangjin-gu",13,0.00173650485,0.18673243849
"11440","마포구","Mapo-gu",14,0.00241475730,0.28933556804
"11620","관악구","Gwanak-gu",15,0.00301213765,0.28009226863
"11650","서초구","Seocho-gu",16,0.00477613965,0.43739867897
"11290","성북구","Seongbuk-gu",17,0.00251122489,0.31867298592
"11350","노원구","Nowon-gu",18,0.00364016544,0.30972339341
"11710","송파구","Songpa-gu",19,0.00344943287,0.31677268063
"11200","성동구","Seongdong-gu",20,0.00171435379,0.19379311713
"11410","서대문구","Seodaemun-gu",21,0.00181130815,0.23113130775
"11470","양천구","Yangcheon-gu",22,0.00177474181,0.29409371703
"11560","영등포구","Yeongdeungpo-gu",23,0.00251168426,0.26295321515
"11170","용산구","Yongsan-gu",24,0.00223374301,0.21449619287
