지역,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug
서울 종로구,96.328,96.424,96.492,96.541,96.676,96.837,96.963,97.132,97.296,97.443,97.571,97.708,97.922,98.149,98.286,98.385,98.606,98.725,98.883,99.031,99.234,99.45,99.647,99.853,100,100.144,100.214,100.367,100.582,100.838,101.198,101.545,101.912,102.164,102.468,102.683,102.903,103.216,103.728,104.111,104.414,104.689,105.166,105.646,106.164,106.751,107.383,107.971,108.56,109.005,109.422,109.687,110.03,110.386,110.867,111.339,111.785,112.295,112.763,113.271,113.699,114.089,114.523,114.877,115.202,115.444,115.759,116.135,116.561,117.01
서울 중구,96.359,96.51,96.614,96.712,96.87,97.001,97.127,97.248,97.343,97.487,97.645,97.812,97.982,98.145,98.293,98.464,98.595,98.727,98.897,99.066,99.28,99.467,99.668,99.847,100,100.175,100.343,100.46,100.677,100.897,101.206,101.567,102.084,102.388,102.662,102.814,103.016,103.277,103.726,104.169,104.655,105.015,105.408,105.647,106.039,106.425,107.043,107.647,108.201,108.579,108.935,109.221,109.541,109.893,110.271,110.623,111.106,111.587,112.098,112.544,112.982,113.487,113.872,114.312,114.669,114.96,115.284,115.649,116.183,116.646
서울 용산구,96.048,96.197,96.251,96.301,96.394,96.56,96.675,96.739,96.815,96.927,96.991,97.181,97.252,97.383,97.635,97.815,97.957,98.139,98.219,98.505,98.791,99.059,99.312,99.623,100,100.272,100.497,100.773,101.079,101.431,101.941,102.734,103.381,103.897,104.341,104.526,104.807,105.207,106.133,106.885,107.287,107.684,107.989,108.478,109.742,110.504,111.146,111.786,112.431,112.909,113.217,113.703,114.165,114.524,115.027,115.663,116.238,116.679,117.148,117.729,118.331,118.834,119.308,119.784,120.144,120.506,120.89,121.306,121.753,122.136
서울 성동구,95.604,95.875,95.992,96.036,96.169,96.323,96.444,96.529,96.791,96.943,97.159,97.377,97.644,97.853,97.942,98.094,98.288,98.419,98.683,98.874,99.125,99.315,99.536,99.805,100,100.167,100.315,100.591,100.8,101.141,101.562,102.04,102.462,102.865,103.149,103.378,103.67,103.976,104.27,104.581,105.058,105.332,105.856,106.343,106.824,107.538,108.201,108.832,109.801,110.203,110.624,111.09,111.458,111.9,112.549,112.768,113.134,113.533,113.859,114.16,114.477,114.805,115.105,115.595,115.85,116.062,116.347,116.773,117.225,117.697
서울 광진구,94.911,95.054,95.169,95.409,95.644,95.738,95.909,96.242,96.487,96.613,96.878,97.081,97.193,97.377,97.57,97.827,97.962,98.215,98.517,98.842,99.087,99.258,99.56,99.8,100,100.131,100.246,100.559,100.853,101.206,101.875,102.355,102.73,103.066,103.39,103.611,103.961,104.348,104.758,105.193,105.533,105.822,106.133,106.591,107.047,107.571,108.194,108.868,109.322,109.95,110.528,110.936,111.262,111.68,112.285,112.616,113.119,113.436,114.022,114.704,115.193,115.648,116.004,116.393,116.698,117.009,117.385,117.685,118.05,118.406
서울 동대문구,95.73,95.782,95.812,95.908,96.066,96.18,96.366,96.493,96.695,96.832,97.072,97.308,97.462,97.702,97.89,97.976,98.169,98.311,98.495,98.768,99.074,99.309,99.539,99.723,100,100.22,100.384,100.537,100.879,101.127,101.572,101.894,102.298,102.724,102.976,103.188,103.472,103.741,103.956,104.22,104.555,104.874,105.365,105.755,106.337,106.979,107.659,108.37,108.995,109.627,110.018,110.379,110.891,111.368,111.891,112.288,112.872,113.414,113.915,114.542,115.095,115.654,116.19,116.645,117.087,117.376,117.715,118.067,118.565,118.918
서울 중랑구,94.642,94.772,94.917,95.002,95.201,95.441,95.802,95.974,96.233,96.48,96.77,96.97,97.228,97.377,97.523,97.688,97.939,98.119,98.326,98.644,99.044,99.233,99.554,99.83,100,100.135,100.27,100.455,100.657,100.968,101.413,101.735,102.12,102.52,102.871,103.136,103.378,103.623,103.961,104.193,104.576,104.845,105.163,105.482,105.959,106.336,106.835,107.417,107.871,108.381,108.715,108.958,109.33,109.722,110.085,110.403,110.703,111.03,111.36,111.805,112.119,112.521,112.942,113.316,113.613,113.986,114.281,114.597,114.888,115.185
서울 성북구,96.044,96.173,96.29,96.419,96.526,96.684,96.81,96.936,97.16,97.317,97.543,97.709,97.973,98.148,98.262,98.337,98.532,98.779,99.069,99.288,99.465,99.625,99.818,99.959,100,100.053,100.284,100.528,100.763,101.035,101.329,101.704,101.92,102.197,102.59,102.706,103.092,103.189,103.475,103.912,104.195,104.322,104.734,105.013,105.816,106.296,107.038,107.663,108.275,108.6,108.945,109.171,109.481,109.782,110.223,110.587,110.951,111.261,111.7,112.131,112.736,113.425,113.875,114.255,114.541,114.803,115.049,115.396,115.938,116.331
서울 강북구,96.308,96.482,96.714,96.985,97.008,97.029,96.986,97.263,97.388,97.695,97.823,97.985,98.048,98.239,98.42,98.547,98.787,98.827,99.079,99.114,99.322,99.416,99.618,99.819,100,100.17,100.282,100.4,100.762,100.877,101.293,101.62,101.893,102.137,102.372,102.596,102.727,102.908,103.08,103.364,103.569,103.764,103.98,104.274,104.641,105.062,105.77,106.198,106.693,107.067,107.361,107.473,107.665,107.94,108.515,109.029,109.317,109.602,109.987,110.215,110.766,110.929,111.181,111.821,112.147,112.324,112.463,112.56,112.717,112.979
서울 도봉구,96.458,96.582,96.788,96.816,97.018,97.045,97.319,97.335,97.437,97.456,97.459,97.702,98.005,98.205,98.332,98.454,98.506,98.637,98.924,99.027,99.119,99.309,99.694,99.81,100,100.119,100.27,100.477,100.79,101.067,101.573,101.878,102.395,102.738,103.01,103.269,103.363,103.626,103.834,103.86,104.245,104.607,104.78,105.116,105.363,105.751,106.314,106.954,107.45,107.857,108.197,108.378,108.565,108.98,109.603,109.816,110.203,110.539,110.85,111.239,111.653,111.956,112.194,112.299,112.524,112.642,112.956,113.192,113.518,113.871
