역번호,호선,역명,역주소(새주소),구,법정동,행정동
150,1,서울역,중구 세종대로  2 (남대문로 5가),중구,남대문로 5가,회현동
151,1,시청,중구 세종대로  101 (정동),중구,정동,소공동
152,1,종각,종로구 종로  55 (종로1가),종로구,종로1가,종로1.2.3.4가동
153,1,종로3가,종로구 종로  129 (종로3가),종로구,종로3가,종로1.2.3.4가동
154,1,종로5가,종로구 종로  216  (종로5가),종로구,종로5가,종로5.6가동
155,1,동대문,종로구 종로  302 (창신동),종로구,창신동,창신1동
156,1,신설동,동대문구 왕산로  1 (신설동),동대문구,신설동,용신동
157,1,제기동,동대문구 왕산로  93 (제기동),동대문구,제기동,제기동
158,1,청량리,동대문구 왕산로  205(청량리동),동대문구,청량리동,청량리동
159,1,동묘앞,종로구 종로 359 (숭인동),종로구,숭인동,숭인1동
200,2,까치산,강서구 강서로 54 (화곡동),강서구,화곡동,화곡8동
201,2,시청,중구 세종대로  101 (정동),중구,정동,소공동
202,2,을지로입구,중구 을지로  42 (을지로1가),중구,을지로1가,명동
203,2,을지로3가,중구 을지로  106 (을지로3가),중구,을지로3가,을지로동
204,2,을지로4가,중구 을지로  178 (을지로4가),중구,을지로4가,을지로동
205,2,동대문역사문화공원,중구 을지로  279 (을지로7가),중구,을지로7가,광희동
206,2,신당,중구 퇴계로  431-1 (신당동),중구,신당동,신당동
207,2,상왕십리,성동구 왕십리로  374 (하왕십리동),성동구,하왕십리동,왕십리2동
208,2,왕십리,성동구 왕십리로 300 (행당동),성동구,행당동,행당1동
209,2,한양대,성동구 왕십리로 206 (행당동),성동구,행당동,행당1동
210,2,뚝섬,성동구 아차산로 18 (성수동1가),성동구,성수동1가,성수1가2동
211,2,성수,성동구 아차산로 100 (성수동2가),성동구,성수동2가,성수2가3동
212,2,건대입구,광진구 아차산로 243 (화양동),광진구,화양동,화양동
213,2,구의,광진구 아차산로 384-1 (구의동),광진구,구의동,구의1동
214,2,강변,광진구 강변역로 53 (구의동),광진구,구의동,구의3동
215,2,잠실나루,송파구 오금로 20 (신천동),송파구,신천동,잠실6동
216,2,잠실,송파구 올림픽로  265 (잠실동),송파구,잠실동,잠실6동
217,2,잠실새내,송파구 올림픽로  140 (잠실동),송파구,잠실동,잠실3동
218,2,종합운동장,송파구 올림픽로  23 (잠실동),송파구,잠실동,잠실7동
219,2,삼성,강남구 테헤란로  538 (삼성동),강남구,삼성동,대치2동
220,2,선릉,강남구 테헤란로  340 (삼성동),강남구,삼성동,삼성2동
221,2,역삼,강남구 테헤란로  156 (역삼동),강남구,역삼동,역삼2동
222,2,강남,강남구 강남대로  396 (역삼동),강남구,역삼동,역삼1동
223,2,교대,서초구 서초대로  294 (서초동),서초구,서초동,서초3동
224,2,서초,서초구 서초대로  233 (서초동),서초구,서초동,서초3동
225,2,방배,서초구 방배로 80 (방배동),서초구,방배동,방배3동
226,2,사당,동작구 남부순환로  2089 (사당동),동작구,사당동,사당1동
227,2,낙성대,관악구 남부순환로  1928 (봉천동),관악구,봉천동,낙성대동
228,2,서울대입구,관악구 남부순환로  1822 (봉천동),관악구,봉천동,낙성대동
229,2,봉천,관악구 남부순환로  1721 (봉천동),관악구,봉천동,은천동
230,2,신림,관악구 남부순환로  1614 (신림동),관악구,신림동,신림동
231,2,신대방,동작구 대림로 2 (신대방동),동작구,신대방동,신대방1동
232,2,구로디지털단지,구로구 도림천로 477 (구로동),구로구,구로동,구로3동
233,2,대림,구로구 구로6동 125-66 (구로동),구로구,구로동,구로4동
234,2,신도림,구로구 새말로  117-21 (신도림동),구로구,신도림동,신도림동
235,2,문래,영등포구 당산로  28 (문래동3가),영등포구,문래동3가,문래동
236,2,영등포구청,영등포구 당산로  121 (당산동3가),영등포구,당산동3가,당산1동
237,2,당산,영등포구 당산로 229 (당산동 6가),영등포구,당산동 6가,당산2동
238,2,합정,마포구 양화로  55 (서교동),마포구,서교동,서교동
239,2,홍대입구,마포구 양화로 160 (동교동),마포구,동교동,서교동
240,2,신촌,마포구 신촌로  90 (노고산동),마포구,노고산동,서교동
241,2,이대,마포구 신촌로  180 (염리동),마포구,염리동,아현동
242,2,아현,마포구 신촌로  270 (아현동),마포구,아현동,아현동
243,2,충정로,서대문구 서소문로  17 (충정로3가),서대문구,충정로3가,충현동
244,2,용답,성동구 용답길 86 (용답동),성동구,용답동,용답동
245,2,신답,성동구 천호대로 232 (용답동),성동구,용답동,용답동
246,2,신설동,동대문구 왕산로  1 (신설동),동대문구,신설동,용신동
247,2,도림천,구로구 경인로 67길 160 (신도림동),구로구,신도림동,신도림동
248,2,양천구청,양천구 목동로3길  33(신정동),양천구,신정동,신정7동
249,2,신정네거리,양천구 중앙로  261 (신정동),양천구,신정동,신정3동
250,2,용두,동대문구 천호대로  129 (용두동),동대문구,용두동,용신동
310,3,구파발,은평구 진관2로  15-25 (진관동),은평구,진관동,진관동
311,3,연신내,은평구 통일로  849 (갈현동),은평구,갈현동,갈현1동
312,3,불광,은평구 통일로  723-1 (대조동),은평구,대조동,대조동
313,3,녹번,은평구 통일로  602-1 (녹번동),은평구,녹번동,녹번동
314,3,홍제,서대문구 통일로  440-1 (홍제동),서대문구,홍제동,홍제3동
315,3,무악재,서대문구 통일로  361 (홍제동),서대문구,홍제동,홍제2동
316,3,독립문,서대문구 통일로  247 (현저동),서대문구,현저동,천연동
317,3,경복궁,종로구 사직로  130 (적선동),종로구,적선동,사직동
318,3,안국,종로구 율곡로  62 (안국동),종로구,안국동,삼청동
